sport,religion,cute,audio,shop,sentimental,bad_boy,age
0.0,0.0,0.0,0.2,0.0,0.0,0.0,18.982
0.1,0.25,3.3333333333333335,0.8,0.2,0.2,0.0,18.801
0.1,0.0,0.0,0.6,0.0,0.0,0.25,18.335
0.0,0.0,0.0,0.2,0.0,0.2,0.0,18.875
0.0,0.25,0.3333333333333333,1.0,0.4,1.2,0.5,18.995
0.0,0.0,0.3333333333333333,0.6,0.2,0.2,0.25,
0.0,0.0,0.0,0.4,0.8,0.0,0.0,18.93
0.1,0.0,0.0,0.4,0.0,0.6,0.0,18.322
0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.055
0.0,2.0,0.3333333333333333,0.4,0.2,0.4,0.0,18.708
0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.543
0.1,0.25,0.0,0.0,0.0,0.0,0.0,19.463
0.0,0.0,0.0,0.2,0.0,0.2,0.0,18.097
0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.25,0.3333333333333333,0.6,0.2,0.0,0.0,18.398
0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.25,0.0,0.2,0.0,0.0,0.0,
0.4,0.0,0.0,0.2,0.0,0.0,0.0,18.987000000000002
0.3,0.25,0.0,0.0,0.0,0.0,0.0,17.158
0.1,0.5,0.0,0.2,1.0,0.0,0.0,18.497
0.0,0.0,0.0,0.2,0.6,0.2,0.0,18.738
0.0,0.0,0.0,0.0,0.2,0.0,0.0,19.296
0.2,0.0,0.0,0.0,0.0,0.0,0.0,18.752
0.2,1.75,0.0,0.0,0.0,0.0,0.0,19.035999999999998
0.1,0.0,0.0,0.2,0.2,0.2,0.0,19.039
0.1,0.0,0.0,0.4,0.2,0.2,0.0,19.02
0.0,0.0,0.0,0.2,0.0,0.0,0.0,
0.0,1.75,0.6666666666666666,0.6,0.0,1.2,0.75,18.426
0.3,0.25,0.3333333333333333,0.0,0.2,0.0,0.25,19.266
0.0,0.0,0.0,2.6,0.0,0.6,0.0,18.278
0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.793
0.9,0.25,0.0,0.2,0.6,0.0,0.0,18.524
0.0,0.0,0.0,0.6,0.2,0.2,0.0,18.683
0.1,0.25,0.0,0.4,0.0,0.0,0.0,19.072
0.1,0.0,0.0,0.0,0.2,0.0,0.5,8.383
0.0,0.0,0.0,0.2,0.0,0.0,0.0,17.906
0.3,0.5,0.0,0.6,0.2,0.2,0.0,19.053
0.0,0.0,0.0,0.4,0.0,0.0,0.0,18.908
0.0,0.0,0.0,0.2,0.0,0.0,0.25,
0.0,0.0,0.3333333333333333,0.2,0.0,2.4,0.5,19.28
0.2,0.0,0.0,0.4,0.0,0.4,0.0,18.324
0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4,0.25,0.0,0.2,0.4,0.0,0.0,18.089000000000002
0.0,0.0,0.0,0.4,0.0,0.2,0.0,19.343
0.0,0.5,0.0,0.0,0.2,0.0,0.0,18.697
0.2,0.0,0.0,0.4,0.0,0.0,0.25,19.239
0.3,1.0,0.3333333333333333,0.6,0.2,0.6,0.0,18.355
0.1,0.25,0.0,1.0,0.0,0.4,0.0,18.787
0.0,0.0,0.0,0.2,0.0,0.0,0.0,18.894000000000002
0.4,0.0,0.0,0.4,0.0,0.0,0.0,
0.1,0.25,0.3333333333333333,0.4,0.6,0.0,0.0,18.809
0.0,0.0,0.0,1.4,0.0,0.0,0.5,18.576
0.0,0.0,1.0,0.0,1.2,0.2,0.0,19.159000000000002
0.2,0.0,0.0,0.0,0.0,0.4,0.0,19.526
0.2,0.0,0.0,0.4,0.8,0.4,0.0,18.782
0.0,0.0,0.6666666666666666,0.0,0.0,0.2,0.0,18.935
0.1,0.75,0.0,1.8,0.0,0.0,0.0,18.374000000000002
0.1,1.0,2.6666666666666665,0.2,0.8,1.4,0.75,18.924
0.3,0.0,0.0,0.2,0.4,0.0,0.0,19.053
0.0,0.0,0.0,0.0,0.2,0.0,0.25,18.976
0.0,0.0,0.0,0.4,0.4,0.0,0.0,18.984
0.1,0.0,0.0,0.0,0.0,0.0,0.0,18.85
0.1,0.5,1.6666666666666667,1.8,0.4,0.6,0.25,18.71
0.5,0.0,0.0,0.2,0.0,0.0,0.0,18.207
0.0,0.0,0.0,0.6,0.0,0.0,0.0,18.018
0.2,0.0,0.0,0.0,0.0,0.6,0.0,19.107
0.0,0.5,0.0,0.2,0.6,0.0,0.0,18.201
0.3,0.0,0.0,0.8,0.0,0.4,0.5,18.565
0.0,0.25,0.6666666666666666,0.8,0.4,0.8,0.0,
0.1,0.25,0.0,0.4,0.0,0.0,0.0,18.855999999999998
0.1,0.25,0.3333333333333333,0.4,0.2,0.0,0.0,106.686
0.0,0.0,0.0,0.2,0.0,0.0,0.0,
0.0,0.0,0.0,0.2,0.0,0.0,0.0,18.102999999999998
0.0,0.0,0.6666666666666666,0.2,0.2,0.2,0.0,19.217
0.0,0.25,0.0,0.0,0.2,0.0,0.0,
0.2,0.0,0.0,0.0,0.4,0.2,0.0,18.56
0.0,0.5,0.0,0.0,0.2,0.0,0.0,18.335
0.0,0.0,0.0,0.0,0.0,0.2,0.0,18.787
0.0,0.25,0.0,0.2,0.0,0.0,0.0,84.15899999999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.593
0.5,0.25,0.0,0.2,0.0,0.0,0.25,19.359
0.1,0.0,0.0,0.0,0.0,0.0,0.0,18.557000000000002
0.0,0.0,0.0,0.2,0.0,0.0,0.0,
0.7,0.0,0.3333333333333333,0.0,0.2,0.2,0.0,18.85
0.3,0.0,0.6666666666666666,0.6,0.2,0.0,0.0,19.28
0.0,0.0,0.0,0.0,0.4,0.8,0.0,19.359
0.2,0.0,0.0,0.0,0.0,0.4,0.0,18.355
0.3,0.25,0.3333333333333333,0.4,0.2,0.0,0.0,18.735
0.0,0.0,0.3333333333333333,0.4,0.4,0.2,0.0,18.942999999999998
0.2,0.0,0.0,0.2,0.2,0.0,0.0,18.335
0.0,0.0,0.0,0.6,0.0,0.2,0.0,18.793
0.0,0.25,0.0,0.0,0.2,0.8,0.0,19.014
0.7,0.0,0.0,0.2,0.4,0.0,0.0,18.634
0.4,0.75,0.0,0.2,0.0,0.2,0.0,
0.0,0.0,0.0,0.2,0.2,0.4,0.25,
0.1,0.0,0.0,0.0,0.0,0.0,0.0,18.396
